date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:05:09	462/462	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2009%20Jan%202024%2014:21:49%20GMT	https://www.codehiddenlanguage.com/robots.txt		(from )
15:05:09	4166/4166	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Jun%202024%2015:50:06%20GMT	https://www.codehiddenlanguage.com/	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/index.html	(from )
15:05:09	23489/23489	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20May%202022%2000:13:15%20GMT	https://www.codehiddenlanguage.com/Code2Cover.jpg	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Code2Cover.jpg	(from https://www.codehiddenlanguage.com/)
15:05:10	1118/1118	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Jun%202024%2015:49:47%20GMT	https://www.codehiddenlanguage.com/style.240618.css	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/style.240618.css	(from https://www.codehiddenlanguage.com/)
15:05:11	6619/6619	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Aug%202022%2016:45:55%20GMT	https://www.codehiddenlanguage.com/apple-touch-icon.png	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/apple-touch-icon.png	(from https://www.codehiddenlanguage.com/)
15:05:12	933/933	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Aug%202022%2016:45:59%20GMT	https://www.codehiddenlanguage.com/favicon-32x32.png	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/favicon-32x32.png	(from https://www.codehiddenlanguage.com/)
15:05:13	461/461	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Aug%202022%2016:45:58%20GMT	https://www.codehiddenlanguage.com/favicon-16x16.png	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/favicon-16x16.png	(from https://www.codehiddenlanguage.com/)
15:05:14	263/263	---M--	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2016:46:00%20GMT	https://www.codehiddenlanguage.com/site.webmanifest	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/site.html	(from https://www.codehiddenlanguage.com/)
15:05:15	253/253	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Dec%202025%2007:05:15%20GMT	https://www.codehiddenlanguage.com/Chapter00	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter00	(from https://www.codehiddenlanguage.com/)
15:05:16	253/253	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Dec%202025%2007:05:16%20GMT	https://www.codehiddenlanguage.com/Chapter06	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter06	(from https://www.codehiddenlanguage.com/)
15:05:17	4378/4378	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Jun%202024%2015:50:07%20GMT	https://www.codehiddenlanguage.com/Chapter00/	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter00/index.html	(from https://www.codehiddenlanguage.com/)
15:05:17	3256/3256	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Jun%202024%2015:50:12%20GMT	https://www.codehiddenlanguage.com/Chapter06/	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter06/index.html	(from https://www.codehiddenlanguage.com/)
15:05:17	253/253	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Dec%202025%2007:05:17%20GMT	https://www.codehiddenlanguage.com/Chapter08	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter08.8.delayed	(from https://www.codehiddenlanguage.com/)
15:05:18	253/253	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Dec%202025%2007:05:18%20GMT	https://www.codehiddenlanguage.com/Chapter10	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter10	(from https://www.codehiddenlanguage.com/)
15:05:19	5683/5683	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Jun%202024%2015:50:24%20GMT	https://www.codehiddenlanguage.com/Chapter08/	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter08/index.html	(from https://www.codehiddenlanguage.com/)
15:05:19	253/253	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Dec%202025%2007:05:19%20GMT	https://www.codehiddenlanguage.com/Chapter14	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter14	(from https://www.codehiddenlanguage.com/)
15:05:20	8579/8579	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Jun%202024%2015:50:28%20GMT	https://www.codehiddenlanguage.com/Chapter10/	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter10/index.html	(from https://www.codehiddenlanguage.com/)
15:05:20	253/253	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Dec%202025%2007:05:20%20GMT	https://www.codehiddenlanguage.com/Chapter15	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter15	(from https://www.codehiddenlanguage.com/)
15:05:21	5496/5496	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Jun%202024%2015:50:41%20GMT	https://www.codehiddenlanguage.com/Chapter14/	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter14/index.html	(from https://www.codehiddenlanguage.com/)
15:05:21	253/253	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Dec%202025%2007:05:21%20GMT	https://www.codehiddenlanguage.com/Chapter16	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter16	(from https://www.codehiddenlanguage.com/)
15:05:22	20229/20229	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Jun%202024%2015:51:01%20GMT	https://www.codehiddenlanguage.com/Chapter15/	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter15/index.html	(from https://www.codehiddenlanguage.com/)
15:05:22	253/253	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Dec%202025%2007:05:22%20GMT	https://www.codehiddenlanguage.com/Chapter17	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter17	(from https://www.codehiddenlanguage.com/)
15:05:23	4454/4454	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Jun%202024%2015:51:06%20GMT	https://www.codehiddenlanguage.com/Chapter16/	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter16/index.html	(from https://www.codehiddenlanguage.com/)
15:05:23	253/253	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Dec%202025%2007:05:23%20GMT	https://www.codehiddenlanguage.com/Chapter18	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter18	(from https://www.codehiddenlanguage.com/)
15:05:24	11117/11117	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Jun%202024%2015:51:30%20GMT	https://www.codehiddenlanguage.com/Chapter17/	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter17/index.html	(from https://www.codehiddenlanguage.com/)
15:05:24	253/253	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Dec%202025%2007:05:24%20GMT	https://www.codehiddenlanguage.com/Chapter19	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter19	(from https://www.codehiddenlanguage.com/)
15:05:25	6922/6922	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Jun%202024%2015:52:07%20GMT	https://www.codehiddenlanguage.com/Chapter18/	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter18/index.html	(from https://www.codehiddenlanguage.com/)
15:05:25	253/253	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Dec%202025%2007:05:25%20GMT	https://www.codehiddenlanguage.com/Chapter20	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter20	(from https://www.codehiddenlanguage.com/)
15:05:26	4655/4655	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Jun%202024%2015:52:23%20GMT	https://www.codehiddenlanguage.com/Chapter19/	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter19/index.html	(from https://www.codehiddenlanguage.com/)
15:05:26	253/253	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2015%20Dec%202025%2007:05:26%20GMT	https://www.codehiddenlanguage.com/Chapter21	/Users/skrjs/websites/web1/www.codehiddenlanguage.com/Chapter21	(from https://www.codehiddenlanguage.com/)
